T0;Tr1;Tpco;Tpm;Tzco;Tzco_ref;Tzm;Fcob_i;rtb_Fcob;TrSP1;Um;Ub1;Ub2;Tr2;TrSP2
3.050000;6.654590;8.354655;58.269031;56.894443;49.662500;77.375000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;20.449789;16.000000
3.000000;6.486496;8.108612;57.583170;57.580304;49.750000;77.500000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;20.112933;16.000000
3.000000;6.326146;7.873853;57.581740;57.581734;49.750000;77.500000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;19.693702;16.000000
3.000000;6.173182;7.649865;57.581737;57.581737;49.750000;77.500000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;19.216460;16.000000
3.000000;6.027260;7.436157;57.581737;57.581737;49.750000;77.500000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;18.700128;16.000000
3.000000;5.888055;7.232261;57.581737;57.581737;49.750000;77.500000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;18.159335;16.000000
3.000000;5.755255;7.037728;57.581737;57.581737;49.750000;77.500000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;17.605343;16.000000
2.900000;5.621541;6.851624;57.581737;57.581737;49.925000;77.750000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;17.039735;16.000000
2.900000;5.494488;6.673208;57.581737;57.581737;49.925000;77.750000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;16.476904;16.000000
2.900000;5.373683;6.502310;57.581737;57.581737;49.925000;77.750000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;15.921605;16.000000
2.800000;5.251728;6.338223;57.581737;57.581737;50.100000;78.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;15.370325;16.000000
2.800000;5.136142;6.180391;57.581737;57.581737;50.100000;78.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;14.833460;16.000000
2.800000;5.026475;6.028800;57.581737;57.581737;50.100000;78.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;14.312647;16.000000
2.800000;4.922325;5.883374;57.581737;57.581737;50.100000;78.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;13.808961;16.000000
2.800000;4.823340;5.744000;57.581737;57.581737;50.100000;78.000000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;13.323050;16.000000
2.800000;4.729203;5.610534;57.280883;56.900880;50.100000;78.000000;0.001350;0.000000;5.000000;0.000000;0.000000;0.121542;12.865327;16.000000
2.800000;4.639629;5.482807;54.950763;53.857607;50.100000;78.000000;0.003521;0.000000;5.000000;0.000000;0.000000;0.316860;12.564699;16.000000
2.800000;4.554358;5.360641;50.860561;49.361641;50.100000;78.000000;0.005478;0.000000;5.000000;0.000000;0.000000;0.493013;12.538917;16.000000
2.800000;4.473154;5.243844;46.018867;44.421543;50.100000;78.000000;0.007110;0.000000;5.000000;0.000000;0.000000;0.639880;12.754608;16.000000
2.750000;4.392285;5.131970;41.176944;39.654093;50.187500;78.125000;0.008453;0.000000;5.000000;0.000000;0.000000;0.760807;13.087106;16.000000
2.750000;4.315481;5.024654;36.675754;35.285074;50.187500;78.125000;0.009613;0.000000;5.000000;0.000000;0.000000;0.865144;13.415746;16.000000
2.750000;4.242482;4.921811;32.591869;31.334060;50.187500;78.125000;0.010711;0.000000;5.000000;0.000000;0.000000;0.963978;13.654896;16.000000
2.750000;4.173055;4.823332;28.935899;27.843287;50.187500;78.125000;0.011111;0.000000;5.000000;0.000000;0.000000;1.000000;13.761942;16.000000
2.750000;4.106991;4.729093;25.836080;24.912111;50.187500;78.125000;0.011111;0.000000;5.000000;0.000000;0.000000;1.000000;13.728923;16.000000
2.750000;4.044098;4.638959;23.193647;22.400374;50.187500;78.125000;0.011111;0.000000;5.000000;0.000000;0.000000;1.000000;13.571575;16.000000
2.750000;3.984204;4.552790;50.618792;38.011229;50.187500;78.125000;0.011111;0.000000;5.000000;1.000000;0.000000;1.000000;13.342764;16.000000
2.750000;3.927147;4.470441;62.253350;53.131314;50.187500;78.125000;0.011111;0.000000;5.000000;1.000000;0.000000;1.000000;13.439129;16.000000
2.750000;3.872779;4.391766;66.059850;58.338352;50.187500;78.125000;0.011111;0.000000;5.000000;1.000000;0.000000;1.000000;14.003834;16.000000
2.750000;3.820964;4.316619;67.553950;60.467793;50.187500;78.125000;0.011111;0.000000;5.000000;1.000000;0.000000;1.000000;14.856401;16.000000
2.750000;3.771572;4.244857;56.744669;53.979954;50.187500;78.125000;0.011111;0.000000;5.000000;0.000000;0.000000;1.000000;15.803630;16.000000
2.750000;3.724484;4.176340;49.214689;47.047720;50.187500;78.125000;0.011111;0.000000;5.000000;0.000000;0.000000;1.000000;16.601486;16.000000
2.750000;3.679586;4.110929;43.158196;41.376937;50.187500;78.125000;0.011111;0.000000;5.000000;0.000000;0.000000;1.000000;17.131395;16.000000
2.750000;3.636773;4.048491;61.680354;52.743538;50.187500;78.125000;0.011111;0.000000;5.000000;1.000000;0.000000;1.000000;17.444865;16.000000
2.750000;3.595944;3.988896;59.052557;55.632667;50.187500;78.125000;0.011111;0.000000;5.000000;0.000000;0.000000;1.000000;17.852849;16.000000
2.650000;3.549979;3.931513;50.631944;48.299495;50.362500;78.375000;0.011111;0.000000;5.000000;0.000000;0.000000;1.000000;18.314457;16.000000
2.650000;3.506648;3.875892;51.842797;44.222377;50.362500;78.375000;0.009637;0.000000;5.000000;1.000000;0.000000;0.867312;18.625755;16.000000
2.750000;3.472746;3.822640;62.701688;57.216235;50.187500;78.125000;0.007899;0.000000;5.000000;0.000000;0.000000;0.710920;18.827559;16.000000
2.650000;3.433191;3.771644;54.983901;53.368161;50.362500;78.375000;0.005982;0.000000;5.000000;0.000000;0.000000;0.538379;19.077226;16.000000
2.650000;3.395818;3.722380;51.018390;50.025722;50.362500;78.375000;0.004000;0.000000;5.000000;0.000000;0.000000;0.360019;19.269708;16.000000
2.650000;3.360451;3.674896;48.700318;48.173864;50.362500;78.375000;0.002081;0.000000;5.000000;0.000000;0.000000;0.187289;19.339288;16.000000
2.650000;3.326937;3.629214;47.697053;47.566117;50.362500;78.375000;0.000310;0.000000;5.000000;0.000000;0.000000;0.027884;19.274344;16.000000
2.650000;3.295142;3.585329;47.611570;47.611168;50.362500;78.375000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;19.075311;16.000000
2.750000;3.271977;3.543730;56.894759;56.692370;50.187500;78.125000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;18.773633;16.000000
2.750000;3.249478;3.504715;56.793776;56.793354;50.187500;78.125000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;18.391435;16.000000
2.750000;3.227698;3.468025;56.793565;56.793564;50.187500;78.125000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;17.952268;16.000000
2.650000;3.199645;3.432934;56.793565;56.793565;50.362500;78.375000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;17.467401;16.000000
2.750000;3.180221;3.399434;56.793565;56.793565;50.187500;78.125000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;16.965874;16.000000
2.750000;3.161428;3.367916;56.793565;56.793565;50.187500;78.125000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;16.450585;16.000000
2.650000;3.136266;3.337690;56.793565;56.793565;50.362500;78.375000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;15.922884;16.000000
2.650000;3.112608;3.308269;56.793565;56.793565;50.362500;78.375000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;15.396993;16.000000
2.650000;3.090311;3.279739;56.793565;56.793565;50.362500;78.375000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;14.877548;16.000000
2.650000;3.069256;3.252157;56.793565;56.793565;50.362500;78.375000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;14.367983;16.000000
2.650000;3.049339;3.225554;56.731090;56.589076;50.362500;78.375000;0.000621;0.000000;5.000000;0.000000;0.000000;0.055881;13.872352;16.000000
2.650000;3.030473;3.199947;55.345172;54.593488;50.362500;78.375000;0.002381;0.000000;5.000000;0.000000;0.000000;0.214277;13.461441;16.000000
2.650000;3.012581;3.175338;52.254672;51.042274;50.362500;78.375000;0.004087;0.000000;5.000000;0.000000;0.000000;0.367868;13.255967;16.000000
2.650000;2.995596;3.151719;48.116208;46.685949;50.362500;78.375000;0.005589;0.000000;5.000000;0.000000;0.000000;0.503040;13.279001;16.000000
2.600000;2.975945;3.128820;43.623354;42.166269;50.450000;78.500000;0.006856;0.000000;5.000000;0.000000;0.000000;0.617027;13.459159;16.000000
2.600000;2.957505;3.106456;39.223177;37.838730;50.450000;78.500000;0.007936;0.000000;5.000000;0.000000;0.000000;0.714237;13.698111;16.000000
2.600000;2.940157;3.084710;35.108779;33.828723;50.450000;78.500000;0.008923;0.000000;5.000000;0.000000;0.000000;0.803055;13.906142;16.000000
2.600000;2.923797;3.063641;31.319534;30.142603;50.450000;78.500000;0.009916;0.000000;5.000000;0.000000;0.000000;0.892472;14.024768;16.000000
2.500000;2.901316;3.042778;27.830317;26.744012;50.625000;78.750000;0.011017;0.000000;5.000000;0.000000;0.000000;0.991547;14.018181;16.000000
2.600000;2.887524;3.022319;57.071776;46.180637;50.450000;78.500000;0.011111;0.000000;5.000000;1.000000;0.000000;1.000000;13.976905;16.000000
2.600000;2.874354;3.002822;64.521722;56.049336;50.450000;78.500000;0.011111;0.000000;5.000000;1.000000;0.000000;1.000000;14.283103;16.000000
2.600000;2.861779;2.984239;67.084815;59.595629;50.450000;78.500000;0.011111;0.000000;5.000000;1.000000;0.000000;1.000000;14.950025;16.000000
2.500000;2.842748;2.966017;59.037305;55.941970;50.625000;78.750000;0.011111;0.000000;5.000000;0.000000;0.000000;1.000000;15.798316;16.000000
2.500000;2.825097;2.947783;50.787199;48.442229;50.625000;78.750000;0.011111;0.000000;5.000000;0.000000;0.000000;1.000000;16.586113;16.000000
2.500000;2.808655;2.929717;44.387329;42.586404;50.625000;78.750000;0.010259;0.000000;5.000000;0.000000;0.000000;0.923288;17.135469;16.000000
2.500000;2.793284;2.911951;62.422261;53.814942;50.625000;78.750000;0.009168;0.000000;5.000000;1.000000;0.000000;0.825083;17.463795;16.000000
2.500000;2.778868;2.894584;58.957455;56.488113;50.625000;78.750000;0.007838;0.000000;5.000000;0.000000;0.000000;0.705397;17.839448;16.000000
2.500000;2.765310;2.877684;52.944370;51.368698;50.625000;78.750000;0.006263;0.000000;5.000000;0.000000;0.000000;0.563662;18.235165;16.000000
2.500000;2.752531;2.861301;48.921873;47.862148;50.625000;78.750000;0.004626;0.000000;5.000000;0.000000;0.000000;0.416319;18.515082;16.000000
2.500000;2.740462;2.845464;46.269894;45.595047;50.625000;78.750000;0.003039;0.000000;5.000000;0.000000;0.000000;0.273540;18.646414;16.000000
2.500000;2.729044;2.830193;63.189605;56.511540;50.625000;78.750000;0.001571;0.000000;5.000000;1.000000;0.000000;0.141394;18.641203;16.000000
2.500000;2.718228;2.815496;59.462289;59.300978;50.625000;78.750000;0.000234;0.000000;5.000000;0.000000;0.000000;0.021056;18.544411;16.000000
2.500000;2.707969;2.801372;59.358967;59.358483;50.625000;78.750000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;18.336451;16.000000
2.500000;2.698229;2.787818;59.358725;59.358724;50.625000;78.750000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;18.026750;16.000000
2.500000;2.688974;2.774824;59.358725;59.358725;50.625000;78.750000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;17.643311;16.000000
2.500000;2.680175;2.762377;59.358725;59.358725;50.625000;78.750000;0.000000;0.000000;5.000000;0.000000;0.000000;0.000000;17.208025;16.000000
