T0;Tr;Tpco;Tpm;Tzco;Tzco_ref;Tzm;Fcob_i;rtb_Fcob;TrSP;Um;Ub1;Ub2
2.75;17.076771;40.408883;52.160589;50.563531;50.1875;78.125;0.004661;0.004661;15;0.082035;0.419494;0.419494
2.75;17.348814;39.216908;51.808886;50.598185;50.1875;78.125;0.003125;0.003125;15;0.059018;0.281205;0.281205
2.75;17.507394;37.582525;51.387251;50.661636;50.1875;78.125;0.001594;0.001594;15;0.030671;0.14345;0.14345
2.75;17.538709;35.385934;50.874366;50.752886;50.1875;78.125;0.000151;0.000151;15;0;0.013607;0.013607
2.75;17.430882;32.92819;50.807035;50.806746;50.1875;78.125;0;0;15;0;0;0
2.75;17.207726;30.77965;50.806891;50.80689;50.1875;78.125;0;0;15;0;0;0
2.75;16.899826;28.889942;50.80689;50.80689;50.1875;78.125;0;0;15;0;0;0
2.75;16.531057;27.213509;50.80689;50.80689;50.1875;78.125;0;0;15;0;0;0
2.75;16.119992;25.713966;50.80689;50.80689;50.1875;78.125;0;0;15;0;0;0
2.65;15.674011;24.361684;50.80689;50.80689;50.3625;78.375;0;0;15;0;0;0
2.65;15.212093;23.132963;50.80689;50.80689;50.3625;78.375;0;0;15;0;0;0
2.75;14.74966;22.009719;50.80689;50.80689;50.1875;78.125;0;0;15;0;0;0
2.65;14.278226;20.976755;50.80689;50.80689;50.3625;78.375;0;0;15;0;0;0
2.65;13.810625;20.021335;50.80689;50.80689;50.3625;78.375;0;0;15;0;0;0
2.65;13.350458;19.14527;50.804789;50.785483;50.3625;78.375;0.000142;0.000142;15;0;0.012814;0.012814
2.65;12.929218;19.645097;49.745378;49.043019;50.3625;78.375;0.001648;0.001648;15;0;0.148307;0.148307
2.65;12.642691;21.871688;50.373032;47.378801;50.3625;78.375;0.003204;0.003204;15;0.194144;0.288373;0.288373
2.75;12.558404;25.193714;51.884341;48.074654;50.1875;78.125;0.004641;0.004641;15;0.230568;0.417645;0.417645
2.75;12.685231;28.877135;52.902459;48.785999;50.1875;78.125;0.00583;0.00583;15;0.246951;0.524713;0.524713
2.75;12.996608;32.26197;53.434769;49.401552;50.1875;78.125;0.006691;0.006691;15;0.239619;0.602194;0.602194
2.65;13.434627;35.031465;53.846045;50.067029;50.3625;78.375;0.007201;0.007201;15;0.220376;0.648052;0.648052
2.75;13.958237;37.026307;53.537611;50.213166;50.1875;78.125;0.007345;0.007345;15;0.190838;0.66107;0.66107
2.75;14.506209;38.302366;53.353061;50.398159;50.1875;78.125;0.007163;0.007163;15;0.166054;0.644671;0.644671
2.65;15.033147;39.033103;53.329868;50.676604;50.3625;78.375;0.006704;0.006704;15;0.145724;0.603381;0.603381
2.65;15.520933;39.291076;53.027667;50.716307;50.3625;78.375;0.006006;0.006006;15;0.124787;0.540543;0.540543
2.65;16.013153;41.196957;53.625939;50.117918;50.3625;78.375;0.011111;0.011111;20;0.203152;1;1
2.65;16.523754;42.314504;53.517868;50.433675;50.3625;78.375;0.011111;0.011111;20;0.174351;1;1
2.65;17.018658;42.979043;53.357066;50.526596;50.3625;78.375;0.011111;0.011111;20;0.158672;1;1
2.65;17.479767;43.367848;53.207367;50.535598;50.3625;78.375;0.011111;0.011111;20;0.14913;1;1
2.65;17.899483;43.597612;53.084481;50.512466;50.3625;78.375;0.011111;0.011111;20;0.1433;1;1
2.65;18.276307;43.738972;52.989553;50.48193;50.3625;78.375;0.011111;0.011111;20;0.139617;1;1
2.6;18.608982;43.85699;53.038291;50.54377;50.45;78.5;0.011111;0.011111;20;0.138607;1;1
2.6;18.905753;43.950719;52.974951;50.526141;50.45;78.5;0.011111;0.011111;20;0.136088;1;1
2.6;19.169479;44.018068;52.928172;50.5095;50.45;78.5;0.011111;0.011111;20;0.134376;1;1
2.6;19.403221;44.070731;52.891794;50.496493;50.45;78.5;0.011111;0.011111;20;0.133042;1;1
2.5;19.604161;44.16356;53.103593;50.666387;50.625;78.75;0.011111;0.011111;20;0.134818;1;1
2.6;19.7913;44.203699;52.820149;50.488024;50.45;78.5;0.011111;0.011111;20;0.129597;1;1
2.6;19.955566;44.212242;52.808982;50.473724;50.45;78.5;0.011111;0.011111;20;0.129594;1;1
2.6;20.099838;44.229337;52.795619;50.467924;50.45;78.5;0.011111;0.011111;20;0.129146;1;1
2.5;20.221002;44.298966;53.024809;50.644502;50.625;78.75;0.011111;0.011111;20;0.131507;1;1
2.5;20.331364;44.371045;52.995171;50.650892;50.625;78.75;0.011111;0.011111;20;0.129624;1;1
2.5;20.431019;44.416925;52.974584;50.648966;50.625;78.75;0.011111;0.011111;20;0.128559;1;1
2.5;20.520195;44.447795;52.957795;50.645316;50.625;78.75;0.011111;0.011111;20;0.127814;1;1
2.5;20.599572;44.470009;52.944421;50.641538;50.625;78.75;0.011111;0.011111;20;0.127272;1;1
2.5;20.670014;44.487172;52.93378;50.638299;50.625;78.75;0.011111;0.011111;20;0.126853;1;1
2.5;20.732429;44.501261;52.925216;50.635737;50.625;78.75;0.011111;0.011111;20;0.126511;1;1
2.5;20.787691;44.513333;52.918202;50.633783;50.625;78.75;0.011111;0.011111;20;0.126221;1;1
2.5;20.836609;44.523941;52.912345;50.632305;50.625;78.75;0.011111;0.011111;20;0.125968;1;1
2.5;20.879909;44.53338;52.90737;50.631178;50.625;78.75;0.011111;0.011111;20;0.125745;1;1
2.5;20.918242;44.541819;52.903082;50.630301;50.625;78.75;0.011111;0.011111;20;0.125546;1;1
2.5;20.952182;44.549368;52.899348;50.629599;50.625;78.75;0.011111;0.011111;20;0.125369;1;1
2.5;20.982236;44.556114;52.896072;50.629023;50.625;78.75;0.011111;0.011111;20;0.125212;1;1
2.5;21.008852;44.56213;52.893186;50.628538;50.625;78.75;0.011111;0.011111;20;0.125072;1;1
2.5;21.032425;44.567487;52.890635;50.628123;50.625;78.75;0.011111;0.011111;20;0.124947;1;1
2.5;21.053305;44.572248;52.888377;50.627761;50.625;78.75;0.011111;0.011111;20;0.124836;1;1
2.5;21.071799;44.576476;52.886377;50.627445;50.625;78.75;0.011111;0.011111;20;0.124738;1;1
2.5;21.088079;44.567622;52.879464;50.643306;50.625;78.75;0.010865;0.010865;20;0.122908;0.977878;0.977878
2.6;21.105138;44.411104;52.586511;50.498877;50.45;78.5;0.010237;0.010237;20;0.114539;0.921292;0.921292
2.6;21.108169;44.169405;52.548009;50.500952;50.45;78.5;0.009618;0.009618;20;0.111891;0.865594;0.865594
2.6;21.096288;43.895258;52.503565;50.501862;50.45;78.5;0.009018;0.009018;20;0.109216;0.81161;0.81161
2.6;21.069728;43.59433;52.460263;50.500941;50.45;78.5;0.008445;0.008445;20;0.106734;0.760056;0.760056
2.6;21.028984;43.271588;52.418543;50.499136;50.45;78.5;0.007907;0.007907;20;0.104409;0.711605;0.711605
2.6;20.97476;42.931875;52.37896;50.496561;50.45;78.5;0.00741;0.00741;20;0.102271;0.66688;0.66688
2.6;20.907958;42.58059;52.342282;50.493074;50.45;78.5;0.00696;0.00696;20;0.100375;0.626443;0.626443
2.6;20.829694;42.224127;52.30952;50.488452;50.45;78.5;0.006564;0.006564;20;0.098793;0.590784;0.590784
2.65;20.744498;41.853479;52.165398;50.388206;50.3625;78.375;0.006221;0.006221;20;0.096764;0.559904;0.559904
2.65;20.649276;41.490943;52.154121;50.381706;50.3625;78.375;0.005939;0.005939;20;0.096329;0.534545;0.534545
2.65;20.546502;41.156226;52.144012;50.374569;50.3625;78.375;0.005721;0.005721;20;0.096252;0.514902;0.514902
2.65;20.438881;40.856285;52.141594;50.365881;50.3625;78.375;0.005567;0.005567;20;0.09673;0.501015;0.501015
