T0;Tr1;Tpco;Tpm;Tzco;Tzco_ref;Tzm;Fcob_i;rtb_Fcob;TrSP1;Um;Ub1;Ub2;Tr2;TrSP2;;Uchyb;B³¹d wzglêdny uchybu
02.wrz;13.279898;18.43379;50.412524;50.412524;49.925;77.75;0;0;15;0;0;0;13.279898;15;;1.720102;11.47%
02.wrz;12.819439;17.69143;50.412524;50.412524;49.925;77.75;0;0;15;0;0;0;12.819439;15;;2.180561;14.54%
02.sie;12.369602;16.988625;50.412524;50.412524;50.1;78;0;0;15;0;0;0;12.369602;15;;2.630398;17.54%
02.sie;11.938175;16.321956;50.412524;50.412524;50.1;78;0;0;15;0;0;0;11.938175;15;;3.061825;20.41%
02.sie;11.52479;15.688956;50.412524;50.412524;50.1;78;0;0;15;0;0;0;11.52479;15;;3.47521;23.17%
02.sie;11.157849;16.700916;49.215154;48.238015;50.1;78;0.002197;0.002197;15;0;0.197749;0.197749;11.157849;15;;3.842151;25.61%
02.sie;10.981933;20.405276;48.616316;44.668456;50.1;78;0.004587;0.004587;15;0.264618;0.412866;0.412866;10.981933;15;;4.018067;26.79%
02.sie;11.073689;25.316752;51.677129;46.401788;50.1;78;0.006705;0.006705;15;0.321152;0.603468;0.603468;11.073689;15;;3.926311;26.18%
02.sie;11.440518;30.395418;53.161719;47.831847;50.1;78;0.008389;0.008389;15;0.325991;0.754984;0.754984;11.440518;15;;3.559482;23.73%
02.sie;12.025825;34.671272;53.856609;48.956876;50.1;78;0.009561;0.009561;15;0.297432;0.860526;0.860526;12.025825;15;;2.974175;19.83%
02.sie;12.745403;37.826304;54.028008;49.739574;50.1;78;0.010219;0.010219;15;0.255319;0.919666;0.919666;12.745403;15;;2.254597;15.03%
lut.75;13.516977;39.944699;54.014319;50.288352;50.1875;78.125;0.0104;0.0104;15;0.216235;0.936043;0.936043;13.516977;15;;1.483023;9.89%
lut.75;14.284763;41.211885;53.72899;50.512393;50.1875;78.125;0.010157;0.010157;15;0.182332;0.914105;0.914105;14.284763;15;;0.715237;4.77%
lut.75;15.007165;41.831389;53.401687;50.584904;50.1875;78.125;0.009548;0.009548;15;0.156593;0.859318;0.859318;15.007165;15;;0.007165;0.05%
lut.75;15.658906;41.979324;53.078953;50.586491;50.1875;78.125;0.008635;0.008635;15;0.136356;0.777166;0.777166;15.658906;15;;0.658906;4.39%
lut.75;16.225931;41.766712;52.772532;50.567459;50.1875;78.125;0.007477;0.007477;15;0.118771;0.672974;0.672974;16.225931;15;;1.225931;8.17%
lut.75;16.700404;41.243682;52.473098;50.555343;50.1875;78.125;0.006133;0.006133;15;0.101351;0.551976;0.551976;16.700404;15;;1.700404;11.34%
lut.75;17.076771;40.408883;52.160589;50.563531;50.1875;78.125;0.004661;0.004661;15;0.082035;0.419494;0.419494;17.076771;15;;2.076771;13.85%
lut.75;17.348814;39.216908;51.808886;50.598185;50.1875;78.125;0.003125;0.003125;15;0.059018;0.281205;0.281205;17.348814;15;;2.348814;15.66%
lut.75;17.507394;37.582525;51.387251;50.661636;50.1875;78.125;0.001594;0.001594;15;0.030671;0.14345;0.14345;17.507394;15;;2.507394;16.72%
lut.75;17.538709;35.385934;50.874366;50.752886;50.1875;78.125;0.000151;0.000151;15;0;0.013607;0.013607;17.538709;15;;2.538709;16.92%
lut.75;17.430882;32.92819;50.807035;50.806746;50.1875;78.125;0;0;15;0;0;0;17.430882;15;;2.430882;16.21%
lut.75;17.207726;30.77965;50.806891;50.80689;50.1875;78.125;0;0;15;0;0;0;17.207726;15;;2.207726;14.72%
lut.75;16.899826;28.889942;50.80689;50.80689;50.1875;78.125;0;0;15;0;0;0;16.899826;15;;1.899826;12.67%
lut.75;16.531057;27.213509;50.80689;50.80689;50.1875;78.125;0;0;15;0;0;0;16.531057;15;;1.531057;10.21%
lut.75;16.119992;25.713966;50.80689;50.80689;50.1875;78.125;0;0;15;0;0;0;16.119992;15;;1.119992;7.47%
lut.65;15.674011;24.361684;50.80689;50.80689;50.3625;78.375;0;0;15;0;0;0;15.674011;15;;0.674011;4.49%
lut.65;15.212093;23.132963;50.80689;50.80689;50.3625;78.375;0;0;15;0;0;0;15.212093;15;;0.212093;1.41%
lut.75;14.74966;22.009719;50.80689;50.80689;50.1875;78.125;0;0;15;0;0;0;14.74966;15;;0.25034;1.67%
lut.65;14.278226;20.976755;50.80689;50.80689;50.3625;78.375;0;0;15;0;0;0;14.278226;15;;0.721774;4.81%
lut.65;13.810625;20.021335;50.80689;50.80689;50.3625;78.375;0;0;15;0;0;0;13.810625;15;;1.189375;7.93%
lut.65;13.350458;19.14527;50.804789;50.785483;50.3625;78.375;0.000142;0.000142;15;0;0.012814;0.012814;13.350458;15;;1.649542;11,00%
